1ARB	ENSP00000236980_636-692	19	0.0	0.0	0.0	0.0	0.01	0.05	0.11	0.16	0.25	0.33	0.38	0.45	0.51	0.57	0.67	0.73	0.77	0.79	0.79	0.79	0.79	269	57
1ARB	ENSP00000437886_261-336	17	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.12	0.23	0.33	0.42	0.48	0.53	0.59	0.64	0.68	0.69	0.71	0.72	0.72	0.72	269	76
1ARB	ENSP00000429173_25-76	19	0.0	0.0	0.0	0.01	0.03	0.06	0.1	0.17	0.26	0.32	0.36	0.44	0.55	0.63	0.67	0.72	0.76	0.78	0.81	0.81	0.81	269	52
1ARB	ENSP00000319104_1226-1282	19	0.0	0.0	0.0	0.0	0.01	0.07	0.1	0.17	0.23	0.32	0.41	0.47	0.51	0.57	0.67	0.72	0.77	0.79	0.79	0.79	0.79	269	57
1ARB	ENSP00000429173_25-76	18	0.0	0.0	0.0	0.0	0.0	0.06	0.09	0.18	0.23	0.33	0.41	0.48	0.56	0.62	0.68	0.72	0.77	0.8	0.81	0.81	0.81	269	52
1ARB	ENSP00000433403_179-228	11	0.0	0.0	0.0	0.0	0.01	0.02	0.09	0.15	0.22	0.29	0.38	0.49	0.59	0.64	0.69	0.72	0.78	0.8	0.81	0.81	0.81	269	51
1ARB	ENSP00000433403_179-228	15	0.0	0.0	0.0	0.0	0.01	0.03	0.06	0.17	0.23	0.29	0.37	0.45	0.52	0.64	0.7	0.74	0.8	0.81	0.81	0.81	0.81	269	51
1ARB	ENSP00000264669_408-478	17	0.0	0.0	0.0	0.0	0.0	0.01	0.03	0.09	0.16	0.27	0.39	0.48	0.58	0.63	0.66	0.68	0.72	0.74	0.74	0.74	0.74	269	71
1ARB	ENSP00000429173_25-76	12	0.0	0.0	0.0	0.0	0.0	0.06	0.09	0.18	0.23	0.33	0.41	0.48	0.56	0.62	0.68	0.72	0.77	0.8	0.81	0.81	0.81	269	52
1ARB	ENSP00000375836_586-637	4	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.1	0.17	0.28	0.42	0.49	0.59	0.69	0.74	0.77	0.79	0.81	0.81	0.81	0.81	269	52
1ARB	ENSP00000307633_260-311	9	0.0	0.0	0.0	0.01	0.03	0.08	0.13	0.19	0.23	0.29	0.36	0.45	0.54	0.63	0.69	0.75	0.78	0.81	0.81	0.81	0.81	269	52
1ARB	ENSP00000311221_233-283	0	0.0	0.0	0.0	0.0	0.01	0.08	0.18	0.26	0.33	0.38	0.42	0.5	0.55	0.6	0.67	0.71	0.76	0.78	0.81	0.81	0.81	269	51
1ARB	ENSP00000221494_41-91	9	0.0	0.0	0.01	0.02	0.03	0.04	0.06	0.1	0.14	0.28	0.42	0.51	0.58	0.67	0.71	0.77	0.8	0.81	0.81	0.81	0.81	269	51
1ARB	ENSP00000338173_826-876	16	0.0	0.0	0.0	0.0	0.01	0.03	0.08	0.14	0.21	0.32	0.39	0.46	0.56	0.65	0.73	0.77	0.78	0.79	0.81	0.81	0.81	269	51
1ARB	ENSP00000354085_1701-1752	3	0.0	0.0	0.0	0.0	0.01	0.03	0.05	0.1	0.16	0.23	0.38	0.49	0.63	0.74	0.78	0.81	0.81	0.81	0.81	0.81	0.81	269	52
1ARB	ENSP00000429173_25-76	16	0.0	0.0	0.0	0.0	0.0	0.06	0.09	0.14	0.24	0.32	0.39	0.46	0.57	0.65	0.68	0.73	0.77	0.8	0.81	0.81	0.81	269	52
1ARB	ENSP00000311221_56-107	32	0.0	0.0	0.0	0.0	0.01	0.04	0.07	0.12	0.19	0.25	0.36	0.46	0.6	0.69	0.75	0.78	0.8	0.81	0.81	0.81	0.81	269	52
1ARB	ENSP00000433403_179-228	16	0.0	0.0	0.0	0.0	0.01	0.03	0.09	0.17	0.23	0.28	0.38	0.5	0.58	0.66	0.71	0.72	0.78	0.8	0.81	0.81	0.81	269	51
