#domain scales aucError bestThresError aucCorr bestCorr thresholdForAccum
ENSP00000370589_4-70 75 0.51 0.04 0.76 0.6 0.84
ENSP00000311747_3-66 68 0.53 0.04 0.76 0.5 0.84
ENSP00000286070_113-186 8 0.52 0.04 0.77 0.5 0.8
ENSP00000348984_2302-2352 77 0.55 0.04 0.74 0.6 0.86
ENSP00000429594_1-53 74 0.56 0.06 0.74 1 0.88
ENSP00000436747_428-483 0 0.53 0.04 0.75 1 0.86
ENSP00000442053_834-906 75 0.58 0.04 0.77 0.4 0.8
ENSP00000431213_26-77 70 0.48 0.04 0.75 0.5 0.88
ENSP00000353192_558-607 79 0.55 0.04 0.75 0.5 0.84
ENSP00000431009_82-132 76 0.6 0.04 0.74 0.8 0.86
ENSP00000432655_452-580 36 0.57 0.04 0.79 1 0.68
ENSP00000400513_779-838 75 0.56 0.04 0.76 0.6 0.84
ENSP00000380486_26-89 67 0.56 0.04 0.76 0.6 0.84
ENSP00000415726_205-258 0 0.65 0.06 0.75 0.6 0.86
ENSP00000253329_259-316 70 0.49 0.04 0.76 0.8 0.88
ENSP00000400513_657-743 4 0.49 0.06 0.77 0.1 0.6
ENSP00000375836_802-863 78 0.55 0.04 0.76 0.7 0.84
ENSP00000397029_113-181 77 0.56 0.04 0.77 0.5 0.82
ENSP00000267884_4-94 75 0.59 0.04 0.78 0.4 0.76
ENSP00000352678_624-674 75 0.51 0.04 0.74 0.7 0.88
ENSP00000375836_224-284 66 0.56 0.04 0.76 0.6 0.84
ENSP00000377760_429-495 75 0.5 0.04 0.76 0.6 0.84
ENSP00000337926_586-638 79 0.56 0.04 0.75 1 0.86
ENSP00000219782_438-488 76 0.59 0.04 0.74 1 0.88
ENSP00000262710_1028-1087 48 0.51 0.08 0.76 0.7 0.84
ENSP00000442053_589-650 68 0.52 0.04 0.76 0.2 0.68
ENSP00000359042_42-233 0 0.5 0.04 0.77 0.3 0.66
ENSP00000386226_187-274 75 0.59 0.04 0.77 0.2 0.66
ENSP00000325376_30-81 0 0.64 0.06 0.74 0.7 0.88
ENSP00000225296_470-563 71 0.53 0.04 0.78 1 0.76
ENSP00000386669_678-745 76 0.51 0.06 0.76 1 0.82
ENSP00000393388_7-83 43 0.56 0.04 0.77 0.6 0.8
ENSP00000405620_850-940 3 0.51 0.04 0.78 0 0.44
ENSP00000338173_826-876 71 0.5 0.04 0.75 0.5 0.84
ENSP00000366829_131-203 73 0.61 0.06 0.77 1 0.82
ENSP00000313829_157-240 77 0.57 0.04 0.77 0.6 0.78
ENSP00000291576_770-877 71 0.53 0.04 0.79 0.3 0.72
ENSP00000408267_5-78 0 0.51 0.04 0.77 0.4 0.78
ENSP00000265753_66-116 79 0.56 0.04 0.74 0.5 0.84
ENSP00000320184_2-133 71 0.56 0.04 0.78 1 0.66
ENSP00000385787_107-258 36 0.6 0.04 0.77 0.5 0.72
ENSP00000359645_170-220 0 0.64 0.06 0.74 0.3 0.76
ENSP00000221419_104-168 75 0.5 0.04 0.76 1 0.84
ENSP00000311221_233-283 6 0.61 0.04 0.74 0.7 0.88
ENSP00000244020_112-206 0 0.64 0.04 0.78 1 0.76
ENSP00000415250_10-67 79 0.56 0.04 0.75 0.7 0.86
ENSP00000254803_229-310 52 0.53 0.04 0.77 0.5 0.78
ENSP00000429173_25-76 66 0.55 0.04 0.75 0.4 0.82
ENSP00000229214_156-207 66 0.52 0.04 0.74 1 0.86
ENSP00000228284_706-776 47 0.6 0.04 0.77 0.4 0.8
ENSP00000313890_420-482 33 0.52 0.04 0.76 0.6 0.84
ENSP00000401177_10-83 8 0.55 0.04 0.77 1 0.82
ENSP00000362936_98-169 4 0.52 0.04 0.77 1 0.82
ENSP00000429892_125-175 66 0.55 0.04 0.75 0.3 0.72
ENSP00000319690_18-81 78 0.54 0.04 0.76 0.3 0.8
ENSP00000400985_1367-1434 74 0.56 0.06 0.76 0.4 0.8
ENSP00000379069_333-400 7 0.51 0.04 0.76 0.6 0.82
ENSP00000335321_282-457 0 0.62 0.04 0.77 0.4 0.7
ENSP00000338552_45-105 79 0.58 0.04 0.76 1 0.84
ENSP00000385610_233-293 78 0.57 0.06 0.76 0.7 0.84
ENSP00000384944_128-186 77 0.56 0.04 0.76 0.3 0.78
ENSP00000382239_5-70 36 0.54 0.06 0.76 0.8 0.84
ENSP00000262056_98-167 2 0.54 0.06 0.77 0.7 0.82
ENSP00000442053_18-77 77 0.56 0.04 0.76 1 0.84
ENSP00000264073_63-123 2 0.53 0.04 0.76 0.5 0.82
ENSP00000271628_102-173 66 0.54 0.04 0.77 0.6 0.82
ENSP00000378461_58-109 19 0.58 0.06 0.74 0.8 0.88
ENSP00000318177_164-228 76 0.58 0.04 0.76 0.5 0.84
ENSP00000265872_147-204 7 0.52 0.04 0.76 1 0.86
ENSP00000365458_44-104 76 0.6 0.04 0.76 0.7 0.84
ENSP00000425979_1144-1233 48 0.51 0.06 0.78 0.4 0.76
ENSP00000360582_547-598 75 0.58 0.04 0.74 0.6 0.86
ENSP00000390222_873-930 70 0.5 0.04 0.76 1 0.84
ENSP00000221448_1-95 0 0.66 0.06 0.78 0.5 0.76
ENSP00000365458_146-209 23 0.51 0.06 0.76 0.3 0.74
ENSP00000358812_1032-1100 36 0.55 0.04 0.77 0.7 0.82
ENSP00000351409_403-473 0 0.55 0.04 0.77 1 0.82
ENSP00000236228_61-127 48 0.5 0.08 0.76 0.4 0.8
ENSP00000384302_473-579 0 0.52 0.04 0.79 0.3 0.7
ENSP00000436747_133-201 28 0.51 0.04 0.76 0.5 0.82
ENSP00000223951_141-203 77 0.56 0.04 0.76 0.5 0.84
ENSP00000370713_126-189 78 0.55 0.04 0.76 0.4 0.78
ENSP00000343557_13-86 78 0.54 0.04 0.77 1 0.82
ENSP00000425979_966-1056 75 0.5 0.04 0.78 0.2 0.68
ENSP00000316042_9-78 39 0.59 0.06 0.77 0.7 0.82
ENSP00000343728_301-351 53 0.57 0.06 0.74 0.6 0.86
ENSP00000358616_58-194 28 0.61 0.04 0.78 0.2 0.62
ENSP00000422700_60-109 44 0.5 0.04 0.75 1 0.86
ENSP00000371634_429-492 78 0.55 0.04 0.76 1 0.84
ENSP00000348111_19-79 76 0.59 0.04 0.76 0.6 0.84
ENSP00000432655_16-66 4 0.6 0.02 0.74 0.5 0.86
ENSP00000326128_160-217 76 0.49 0.04 0.75 0.6 0.86
ENSP00000252816_5-71 61 0.61 0.04 0.76 1 0.84
ENSP00000375836_509-570 79 0.58 0.04 0.76 0.7 0.86
ENSP00000427805_79-129 53 0.58 0.06 0.74 1 0.88
ENSP00000356520_4-69 36 0.57 0.04 0.76 0.6 0.82
ENSP00000362105_13-253 51 0.62 0.04 0.79 0.2 0.56
ENSP00000428456_276-341 55 0.58 0.06 0.76 0.6 0.82
ENSP00000228284_818-876 78 0.55 0.04 0.76 0.8 0.86
ENSP00000362993_134-199 52 0.63 0.04 0.76 0.7 0.84
ENSP00000359345_26-173 46 0.48 0.02 0.77 0.2 0.58
ENSP00000307633_260-311 36 0.59 0.06 0.74 0.8 0.88
ENSP00000364912_8-74 79 0.57 0.04 0.76 0.5 0.82
ENSP00000199814_234-299 48 0.53 0.08 0.76 0.5 0.82
ENSP00000366135_288-456 70 0.5 0.04 0.76 0.2 0.54
ENSP00000361925_2-53 75 0.5 0.04 0.74 0.2 0.72
ENSP00000221494_41-91 75 0.6 0.04 0.74 0.7 0.86
ENSP00000373404_84-165 75 0.59 0.06 0.77 0.6 0.8
ENSP00000382239_927-997 24 0.55 0.06 0.77 0.5 0.8
ENSP00000367113_521-646 77 0.58 0.04 0.79 1 0.66
ENSP00000425979_1261-1332 17 0.58 0.12 0.77 0.5 0.8
ENSP00000318195_395-460 53 0.59 0.04 0.76 0.5 0.82
ENSP00000400875_105-214 19 0.57 0.04 0.79 0.3 0.7
ENSP00000262710_64-114 78 0.56 0.04 0.75 0.4 0.82
ENSP00000266022_458-530 76 0.5 0.04 0.77 0.6 0.8
ENSP00000229390_16-83 36 0.57 0.06 0.76 0.5 0.82
ENSP00000304350_1208-1343 48 0.52 0.06 0.78 0.5 0.64
ENSP00000310042_54-104 56 0.58 0.04 0.75 0.5 0.86
ENSP00000362993_290-341 75 0.59 0.04 0.75 0.6 0.86
ENSP00000366829_855-905 19 0.57 0.06 0.74 1 0.9
ENSP00000354085_1701-1752 78 0.55 0.04 0.75 0.7 0.88
ENSP00000398116_20-85 79 0.56 0.04 0.76 0.4 0.8
ENSP00000411381_135-212 66 0.58 0.04 0.77 0.3 0.74
ENSP00000313007_310-368 62 0.54 0.04 0.76 1 0.86
ENSP00000236228_340-419 28 0.51 0.04 0.77 0.1 0.6
ENSP00000371212_248-312 67 0.59 0.04 0.77 0.6 0.84
ENSP00000378378_11-90 75 0.58 0.06 0.77 0.7 0.8
ENSP00000418705_10-68 53 0.57 0.04 0.76 0.5 0.82
ENSP00000243498_189-256 4 0.51 0.04 0.76 1 0.82
ENSP00000258770_449-536 75 0.49 0.04 0.77 0.5 0.78
ENSP00000349428_482-549 24 0.54 0.04 0.76 0.4 0.84
ENSP00000278070_1545-1608 77 0.54 0.04 0.76 0.3 0.76
ENSP00000351409_124-186 79 0.53 0.04 0.76 0.6 0.84
ENSP00000261973_89-158 2 0.53 0.06 0.77 1 0.82
ENSP00000308179_803-909 0 0.51 0.04 0.79 0.4 0.72
ENSP00000375863_3-54 0 0.62 0.06 0.74 1 0.86
ENSP00000431213_135-186 47 0.59 0.04 0.74 0.7 0.88
ENSP00000400513_573-643 0 0.5 0.04 0.77 1 0.82
ENSP00000326777_307-372 67 0.55 0.04 0.76 1 0.84
ENSP00000337445_61-120 44 0.48 0.04 0.76 1 0.84
ENSP00000448455_8-59 36 0.56 0.06 0.74 1 0.88
ENSP00000380414_141-191 71 0.49 0.04 0.75 0.6 0.88
ENSP00000201886_324-386 78 0.55 0.04 0.76 0.5 0.84
ENSP00000256383_14-88 46 0.52 0.04 0.77 0.5 0.8
ENSP00000356520_181-250 36 0.57 0.06 0.77 0.4 0.8
ENSP00000223073_130-189 78 0.59 0.06 0.76 0.5 0.84
ENSP00000265069_318-368 51 0.59 0.06 0.75 0.8 0.86
ENSP00000363745_248-323 77 0.56 0.04 0.77 0.3 0.76
ENSP00000308897_83-155 2 0.51 0.04 0.77 1 0.8
ENSP00000428456_176-240 66 0.53 0.06 0.77 0.4 0.8
ENSP00000337736_609-671 70 0.6 0.04 0.77 0.4 0.8
ENSP00000379051_31-279 19 0.55 0.04 0.79 0 0.34
ENSP00000426446_88-159 79 0.57 0.04 0.77 0.6 0.82
ENSP00000220592_235-371 75 0.55 0.04 0.78 0.3 0.64
ENSP00000223073_337-413 70 0.51 0.04 0.77 0.7 0.8
ENSP00000257570_166-352 37 0.56 0.04 0.77 1 0.68
ENSP00000393530_526-576 19 0.6 0.06 0.74 0.7 0.88
ENSP00000349748_313-367 79 0.58 0.04 0.75 0.5 0.88
ENSP00000427914_4-56 53 0.57 0.06 0.75 1 0.88
ENSP00000252542_409-479 75 0.57 0.04 0.77 1 0.82
ENSP00000319104_1226-1282 78 0.56 0.04 0.75 1 0.86
ENSP00000371634_276-341 49 0.54 0.08 0.76 0.6 0.84
ENSP00000355340_12-190 70 0.51 0.04 0.77 0.1 0.5
ENSP00000345412_127-199 3 0.52 0.04 0.77 0.6 0.8
ENSP00000358812_449-522 71 0.49 0.04 0.77 0.4 0.78
ENSP00000254878_11-129 33 0.52 0.04 0.8 0.2 0.62
ENSP00000439856_840-890 54 0.6 0.04 0.75 0.6 0.88
ENSP00000201886_426-491 19 0.59 0.06 0.77 0.5 0.82
ENSP00000428756_9-72 66 0.56 0.04 0.77 0.4 0.8
ENSP00000325376_73-143 14 0.54 0.06 0.77 0.4 0.82
ENSP00000357215_8-58 75 0.59 0.04 0.75 0.6 0.88
ENSP00000338173_718-768 11 0.51 0.04 0.74 0.6 0.86
ENSP00000359508_220-279 66 0.54 0.04 0.76 0.7 0.84
ENSP00000437998_26-85 76 0.59 0.04 0.76 0.7 0.84
ENSP00000344950_38-97 78 0.55 0.04 0.76 0.5 0.82
ENSP00000371634_5-70 61 0.55 0.04 0.76 0.6 0.82
ENSP00000359508_283-395 70 0.57 0.04 0.79 0.3 0.68
ENSP00000331815_654-789 70 0.49 0.04 0.78 0.4 0.64
ENSP00000310596_8-76 46 0.49 0.04 0.76 0.6 0.82
ENSP00000423533_498-565 17 0.58 0.06 0.76 0.2 0.7
ENSP00000307863_402-464 4 0.49 0.04 0.76 1 0.84
ENSP00000384795_860-914 0 0.48 0.12 0.75 0.7 0.84
ENSP00000433071_18-70 46 0.5 0.04 0.75 1 0.88
ENSP00000265872_628-678 53 0.57 0.04 0.75 0.6 0.88
ENSP00000360768_74-224 46 0.5 0.04 0.77 1 0.6
ENSP00000264161_60-145 78 0.56 0.04 0.78 0.3 0.72
ENSP00000427644_1-52 76 0.49 0.04 0.74 0.6 0.86
ENSP00000265069_569-619 51 0.61 0.04 0.74 1 0.86
ENSP00000349748_373-440 24 0.52 0.06 0.76 1 0.82
ENSP00000233468_21-88 46 0.5 0.06 0.76 1 0.82
ENSP00000260956_231-334 53 0.59 0.04 0.79 1 0.74
ENSP00000323424_180-335 75 0.55 0.04 0.76 0.4 0.58
ENSP00000302160_19-97 76 0.5 0.04 0.77 0.5 0.78
ENSP00000236980_636-692 71 0.52 0.04 0.75 1 0.86
ENSP00000304350_986-1079 0 0.51 0.04 0.78 0.2 0.68
ENSP00000348111_243-305 70 0.61 0.04 0.76 1 0.84
ENSP00000386134_17-98 71 0.52 0.04 0.77 0.3 0.72
