#domain scale auc bestThres sens spec
ENSP00000375836_977-1028 32 0.509363546974166 2.3 0.54 0.51
ENSP00000236980_636-692 71 0.52525579001544 2.04 0.25 0.83
ENSP00000221448_1-95 0 0.679113973069561 5.31 0.64 0.66
ENSP00000364912_519-583 78 0.568623124448367 3.38 0.41 0.71
ENSP00000265069_369-419 54 0.624123143335889 1.79 0.41 0.78
ENSP00000326777_307-372 67 0.568130332450721 3.26 0.54 0.59
ENSP00000385610_233-293 78 0.5805183356104 2.99 0.45 0.69
ENSP00000448455_8-59 36 0.568617426763307 2.26 0.48 0.64
ENSP00000349428_482-549 24 0.551067540873366 3.42 0.69 0.4
ENSP00000257570_166-352 37 0.575855262389479 6.67 0.41 0.72
ENSP00000310596_8-76 46 0.507122126367232 3.05 0.31 0.74
ENSP00000243498_31-163 75 0.526062390378351 5.12 0.37 0.74
ENSP00000316042_9-78 39 0.606607464303631 3.6 0.45 0.72
ENSP00000397029_113-181 77 0.604054813433543 2.59 0.51 0.69
ENSP00000351409_403-473 0 0.551325469304921 2.54 0.37 0.75
ENSP00000262710_64-114 78 0.569452727840732 2.29 0.51 0.61
ENSP00000386518_74-125 46 0.511805504766084 2.77 0.31 0.74
ENSP00000384944_128-186 77 0.58289838483248 2.41 0.66 0.49
ENSP00000308897_83-155 2 0.534270198170732 3.49 0.37 0.72
ENSP00000215793_49-102 51 0.600496888072646 2.27 0.52 0.67
ENSP00000439856_840-890 54 0.615272418927527 1.84 0.44 0.75
ENSP00000400513_573-643 0 0.500325553864367 3.13 0.23 0.83
ENSP00000310042_54-104 56 0.593802870044669 2.42 0.63 0.52
ENSP00000379051_31-279 19 0.568930724040589 10.5 0.43 0.7
ENSP00000429173_25-76 66 0.594942790739251 0.44 0.4 0.78
ENSP00000326128_160-217 76 0.492786657487177 2.5 0.43 0.63
ENSP00000291576_770-877 71 0.55419016736786 3.67 0.59 0.51
ENSP00000432655_452-580 36 0.601523665441971 5.53 0.59 0.59
ENSP00000376276_16-86 53 0.624590943683409 3.38 0.57 0.63
ENSP00000425979_966-1056 75 0.51187570584301 3.29 0.24 0.85
ENSP00000337736_609-671 70 0.60027404033505 2.82 0.57 0.6
ENSP00000418705_10-68 53 0.589887628799708 2.76 0.6 0.55
ENSP00000253329_259-316 70 0.498400825327123 2.99 0.34 0.71
ENSP00000261973_89-158 2 0.530935799231901 3.84 0.52 0.55
ENSP00000233468_21-88 46 0.502193922582272 3.17 0.25 0.8
ENSP00000362993_290-341 75 0.601343279943441 2.52 0.56 0.62
ENSP00000405620_850-940 3 0.50049450127737 3.96 0.19 0.86
ENSP00000260956_231-334 53 0.625355902895658 4.25 0.5 0.7
ENSP00000223951_141-203 77 0.576516545080473 2.15 0.41 0.71
ENSP00000348111_19-79 76 0.610142139105802 2.5 0.51 0.67
ENSP00000319104_1226-1282 78 0.574607308286155 2.77 0.49 0.65
ENSP00000348984_2302-2352 77 0.567513398816117 2.5 0.78 0.33
ENSP00000360768_74-224 46 0.497391066971714 5.78 0.32 0.73
ENSP00000337926_586-638 79 0.564234460453286 2.34 0.51 0.61
ENSP00000428456_276-341 55 0.59853528348674 3.71 0.46 0.71
ENSP00000358799_190-251 36 0.586232435915676 3.17 0.7 0.44
ENSP00000380486_26-89 67 0.561265556117428 3.13 0.49 0.63
ENSP00000244020_112-206 0 0.661053761299388 4.16 0.68 0.57
ENSP00000442053_18-77 77 0.582558449565898 2.54 0.56 0.58
ENSP00000370589_4-70 75 0.518832219560375 2.91 0.43 0.68
ENSP00000311221_233-283 6 0.620483858534468 2.29 0.65 0.53
ENSP00000307863_402-464 4 0.489995851683002 2.31 0.48 0.53
ENSP00000442053_834-906 75 0.605049542682927 3.54 0.75 0.42
ENSP00000437998_26-85 76 0.607557824659634 2.5 0.44 0.73
ENSP00000382239_927-997 24 0.563117283950617 3.73 0.48 0.64
ENSP00000347271_3-101 75 0.591904299658022 4.46 0.62 0.51
ENSP00000223073_130-189 78 0.59509302771251 3.34 0.75 0.4
ENSP00000375836_729-790 79 0.609331455925551 3.01 0.62 0.55
ENSP00000371634_429-492 78 0.575093216053514 2.74 0.5 0.64
ENSP00000262710_1028-1087 48 0.5074540902198 5.19 0.28 0.79
ENSP00000236980_456-528 0 0.500376863143631 3.41 0.31 0.72
ENSP00000323424_180-335 75 0.592083707657348 6 0.65 0.52
ENSP00000385407_75-140 75 0.602312654982558 2.8 0.47 0.69
ENSP00000349748_373-440 24 0.514512671794225 4.12 0.76 0.28
ENSP00000257829_771-892 78 0.541329993439494 4.12 0.45 0.67
ENSP00000338173_934-984 71 0.513782219030579 2.04 0.21 0.84
ENSP00000427914_4-56 53 0.576049107324248 2.86 0.51 0.64
ENSP00000378127_46-203 19 0.614795209422352 10.09 0.53 0.65
ENSP00000365458_44-104 76 0.614439319303259 2.92 0.58 0.61
ENSP00000318177_164-228 76 0.606560753162695 2.58 0.56 0.63
ENSP00000384795_860-914 0 0.517183860760789 2.94 0.27 0.79
ENSP00000265872_147-204 7 0.523623748415814 2.8 0.35 0.7
ENSP00000264161_60-145 78 0.579213531566473 3.68 0.49 0.66
ENSP00000431009_82-132 76 0.611023753220053 2.29 0.44 0.74
ENSP00000221494_41-91 75 0.616106168121163 2.48 0.53 0.66
ENSP00000243498_189-256 4 0.507256335897113 2.41 0.18 0.86
ENSP00000364813_5-72 46 0.500789097633758 2.54 0.43 0.6
ENSP00000421592_115-184 66 0.581241647660923 3.6 0.45 0.71
ENSP00000351409_124-186 79 0.536380530565554 2.08 0.42 0.67
ENSP00000382239_286-354 36 0.58634104967178 3.09 0.41 0.75
ENSP00000302160_19-97 76 0.509503793840288 3.84 0.26 0.8
ENSP00000236228_61-127 48 0.50122409952507 5.54 0.36 0.67
ENSP00000256383_14-88 46 0.509495106686116 2.64 0.24 0.8
ENSP00000407848_50-109 71 0.555485427185922 2.88 0.58 0.51
ENSP00000400875_105-214 19 0.562797147385103 4.95 0.64 0.47
ENSP00000358812_449-522 71 0.529963795731707 2.88 0.42 0.68
ENSP00000362993_134-199 52 0.653402261169251 2.66 0.64 0.62
ENSP00000254108_287-365 77 0.60116480919905 2.92 0.54 0.62
ENSP00000307633_260-311 36 0.591876122447321 2.83 0.43 0.73
ENSP00000240185_193-255 75 0.496410029708654 3.66 0.09 0.95
ENSP00000362105_13-253 51 0.656692406692407 8.32 0.69 0.55
ENSP00000215793_163-216 33 0.603878175696357 2.21 0.47 0.71
ENSP00000401177_10-83 8 0.560224000677507 2.68 0.49 0.63
ENSP00000356520_4-69 36 0.582011515992099 3.34 0.52 0.63
ENSP00000338552_45-105 79 0.593331536748516 2.55 0.66 0.49
ENSP00000390625_185-242 0 0.51640006863943 2.08 0.2 0.89
ENSP00000431213_26-77 70 0.514262699399465 2.66 0.35 0.74
ENSP00000418748_350-422 33 0.533868987127371 3.38 0.44 0.62
ENSP00000359345_26-173 46 0.507721807628524 5.42 0.25 0.81
ENSP00000379069_333-400 7 0.507015718908923 3 0.16 0.89
ENSP00000218364_291-347 66 0.570054554812146 2.76 0.48 0.65
ENSP00000337445_61-120 44 0.510947316235898 2.75 0.38 0.69
ENSP00000373404_84-165 75 0.622973470103604 4.2 0.43 0.75
ENSP00000361925_2-53 75 0.503949389307394 2.08 0.4 0.65
ENSP00000355340_12-190 70 0.520164588902203 6.61 0.39 0.69
ENSP00000427644_1-52 76 0.510890468481846 3.84 0.09 0.97
ENSP00000221419_104-168 75 0.509781238179296 3.17 0.24 0.82
ENSP00000428021_76-147 71 0.544780568239472 2.62 0.48 0.63
ENSP00000343557_13-86 78 0.558699610433604 3.38 0.63 0.47
ENSP00000371634_5-70 61 0.557635649140504 2.9 0.29 0.8
ENSP00000371212_248-312 67 0.608049636447695 2.98 0.57 0.6
ENSP00000219782_438-488 76 0.605228885453815 1.94 0.52 0.65
ENSP00000342181_526-588 0 0.661753983850895 3.42 0.57 0.68
ENSP00000429594_1-53 74 0.56945053918103 2.7 0.36 0.75
ENSP00000345412_127-199 3 0.522774813685637 3.29 0.41 0.65
ENSP00000318195_395-460 53 0.60746017736309 2.71 0.44 0.72
ENSP00000423533_498-565 17 0.585305552053125 3.96 0.45 0.72
ENSP00000311747_3-66 68 0.532597816530663 2.75 0.39 0.69
ENSP00000304350_1208-1343 48 0.531831225288469 9.55 0.71 0.35
ENSP00000366135_288-456 70 0.500893636534403 7.01 0.18 0.89
ENSP00000410299_65-116 77 0.56588410248909 1.98 0.48 0.66
ENSP00000348111_243-305 70 0.623200824635137 2.98 0.62 0.57
ENSP00000380414_141-191 71 0.502105673145973 2.12 0.35 0.7
ENSP00000363745_248-323 77 0.58991059943949 3.12 0.45 0.7
ENSP00000220592_235-371 75 0.597318488118762 5.62 0.52 0.65
ENSP00000410242_84-157 48 0.501254446138211 6.75 0.22 0.82
ENSP00000313890_353-412 76 0.612913271342632 3.44 0.72 0.46
ENSP00000436747_133-201 28 0.525143168630653 2.8 0.47 0.6
ENSP00000358088_1-53 75 0.601522058883282 2.7 0.61 0.55
ENSP00000223073_337-413 70 0.503454209365124 3.46 0.5 0.55
ENSP00000371634_195-258 76 0.598992616155491 2.34 0.45 0.7
ENSP00000365458_146-209 23 0.521206258747201 3.92 0.34 0.72
ENSP00000228284_818-876 78 0.566475061224574 2.63 0.51 0.6
ENSP00000425979_1261-1332 17 0.57904299847793 8.18 0.58 0.54
ENSP00000225296_470-563 71 0.549851648412252 3.19 0.43 0.69
ENSP00000390517_6-58 8 0.555859276595399 2.34 0.48 0.65
ENSP00000370713_126-189 78 0.565319431534199 3.04 0.64 0.49
ENSP00000359508_220-279 66 0.547630355446683 3.82 0.59 0.49
ENSP00000265753_66-116 79 0.582428583600093 1.94 0.36 0.78
ENSP00000265069_569-619 51 0.620444301090974 2.27 0.46 0.75
ENSP00000262056_98-167 2 0.54768474214722 4.34 0.6 0.49
ENSP00000313890_420-482 33 0.524063381255473 3.21 0.61 0.44
ENSP00000442053_589-650 68 0.537909758893975 2.38 0.46 0.63
ENSP00000375836_440-491 75 0.619311579186881 2.31 0.5 0.69
ENSP00000378461_58-109 19 0.582002649178836 2.91 0.64 0.5
ENSP00000250113_371-528 0 0.671154635082379 6.86 0.58 0.69
ENSP00000358563_297-370 0 0.51146997798103 2.94 0.29 0.76
ENSP00000264073_63-123 2 0.546136715926515 3.04 0.51 0.59
ENSP00000378378_11-90 75 0.594807571961615 4 0.48 0.69
ENSP00000408267_5-78 0 0.507760628387534 2.68 0.28 0.76
ENSP00000354085_1701-1752 78 0.55868317121334 2.3 0.53 0.58
ENSP00000371634_511-575 30 0.618410877148741 2.74 0.65 0.54
ENSP00000358616_58-194 28 0.645656634746922 5.29 0.63 0.61
ENSP00000429892_125-175 66 0.567524602420017 2.94 0.45 0.68
ENSP00000254803_229-310 52 0.539761692917091 3.33 0.28 0.8
ENSP00000337926_784-838 70 0.500323374225846 2.16 0.24 0.8
ENSP00000335321_282-457 0 0.662623120343709 5.96 0.55 0.7
ENSP00000393388_7-83 43 0.570500370550203 3.5 0.45 0.68
ENSP00000377760_429-495 75 0.508053839364519 2.96 0.13 0.92
ENSP00000393530_526-576 19 0.602515650547516 3.33 0.47 0.68
ENSP00000415940_55-117 46 0.51320442822364 2.96 0.27 0.79
ENSP00000313007_310-368 62 0.547757241711095 2.62 0.48 0.63
ENSP00000375836_586-637 75 0.588400091014733 2.46 0.42 0.72
ENSP00000252816_5-71 61 0.620475560038667 3.16 0.47 0.75
ENSP00000362852_911-962 14 0.54595939280171 2.96 0.45 0.68
ENSP00000252116_267-320 4 0.517773696561575 2.54 0.33 0.75
ENSP00000331815_654-789 70 0.491707768498346 5 0.31 0.74
ENSP00000258770_369-439 75 0.505539700659564 3.04 0.41 0.64
ENSP00000358812_183-258 78 0.578140306491869 3.88 0.5 0.66
ENSP00000375836_152-212 4 0.649840396418529 1.84 0.73 0.5
ENSP00000366396_1-255 2 0.624355657569686 9.21 0.54 0.65
ENSP00000362936_98-169 4 0.531561812954507 2.24 0.26 0.81
ENSP00000342408_716-767 0 0.603219443022339 2.5 0.43 0.76
ENSP00000364912_440-507 21 0.500236414071366 3.34 0.22 0.83
ENSP00000349428_186-252 0 0.50328773168579 2.3 0.21 0.85
ENSP00000267884_4-94 75 0.61112353760293 3.88 0.38 0.8
ENSP00000426446_88-159 79 0.587045492981566 3.54 0.63 0.5
ENSP00000201886_426-491 19 0.600136594796789 3.56 0.53 0.64
ENSP00000309296_669-817 38 0.543204550165837 5.75 0.34 0.75
ENSP00000325376_73-143 14 0.546491840013529 3.92 0.4 0.7
ENSP00000339090_38-108 46 0.512394300693387 3.21 0.2 0.85
ENSP00000386226_187-274 75 0.609333818837564 3.94 0.5 0.68
ENSP00000384302_473-579 0 0.524286374112827 3.48 0.21 0.88
ENSP00000300413_5-70 48 0.519641281049048 5.97 0.3 0.78
ENSP00000293677_240-310 75 0.505122188398444 2.56 0.17 0.88
ENSP00000371212_73-141 25 0.561557775724577 3.04 0.32 0.79
ENSP00000229214_156-207 66 0.560266786936135 0.62 0.68 0.41
ENSP00000364912_337-407 79 0.587055005919161 2.86 0.34 0.81
ENSP00000362576_370-466 23 0.549978424668902 4.84 0.4 0.7
ENSP00000375836_300-351 70 0.607488806000471 2.34 0.42 0.74
ENSP00000428756_9-72 66 0.601678413533062 0.64 0.55 0.66
ENSP00000375836_875-967 0 0.64267068759665 4.19 0.61 0.6
ENSP00000375863_3-54 0 0.633210198111791 2.96 0.73 0.48
ENSP00000398116_20-85 79 0.576290295465053 2.5 0.43 0.69
ENSP00000382239_5-70 36 0.542500945656285 3.23 0.42 0.67
ENSP00000375836_1054-1117 77 0.592581324056142 2.29 0.46 0.71
