#domain scale auc bestThres sens spec
ENSP00000425979_966-1056 30 0.49908336348585 0.04 0.28 0.74
ENSP00000236980_636-692 38 0.496696860524961 0.04 0.02 0.98
ENSP00000337736_609-671 70 0.599523991099974 0.04 0.59 0.58
ENSP00000418705_10-68 17 0.553680628565385 0.06 0.47 0.64
ENSP00000378127_46-203 77 0.61737576920532 0.04 0.43 0.79
ENSP00000253329_259-316 37 0.558639161275784 0.04 0.49 0.65
ENSP00000261973_89-158 2 0.528276751725272 0.06 0.52 0.54
ENSP00000343557_13-86 26 0.544473026761518 0.04 0.21 0.87
ENSP00000362993_290-341 76 0.600018690525529 0.04 0.44 0.72
ENSP00000405620_850-940 2 0.499571286032258 0.04 0.05 0.97
ENSP00000260956_231-334 8 0.552529909422996 0.04 0.3 0.79
ENSP00000223951_141-203 77 0.562117904387579 0.04 0.49 0.63
ENSP00000348111_19-79 76 0.589156566099698 0.04 0.7 0.44
ENSP00000348984_2302-2352 41 0.581667863532906 0.08 0.42 0.71
ENSP00000360768_74-224 1 0.520300800748752 0.04 0.48 0.58
ENSP00000337926_586-638 39 0.525948341012701 0.06 0.54 0.53
ENSP00000428456_276-341 78 0.570094145336864 0.06 0.41 0.72
ENSP00000358799_190-251 45 0.601770217003791 0.08 0.57 0.59
ENSP00000236228_340-419 28 0.511103137327772 0.04 0.5 0.53
ENSP00000244020_112-206 72 0.656358084110599 0.08 0.64 0.63
ENSP00000254878_11-129 8 0.536032082432442 0.04 0.11 0.94
ENSP00000370589_4-70 17 0.570147732526373 0.06 0.47 0.64
ENSP00000311221_233-283 73 0.582535084409499 0.06 0.56 0.57
ENSP00000307863_402-464 26 0.553062840717198 0.06 0.54 0.56
ENSP00000442053_834-906 75 0.581729547764228 0.04 0.54 0.62
ENSP00000437998_26-85 78 0.568155401689747 0.06 0.54 0.57
ENSP00000382239_927-997 24 0.548100583460173 0.06 0.6 0.48
ENSP00000347271_3-101 39 0.544700903035053 0.06 0.63 0.44
ENSP00000357215_8-58 78 0.565950372651404 0.04 0.34 0.77
ENSP00000375836_729-790 78 0.603694002058732 0.06 0.48 0.68
ENSP00000265872_147-204 7 0.521746501353148 0.04 0.2 0.84
ENSP00000293677_240-310 43 0.568748943006934 0.06 0.32 0.79
ENSP00000323424_180-335 76 0.55571394599165 0.04 0.11 0.96
ENSP00000221448_1-95 65 0.637451455505029 0.06 0.6 0.64
ENSP00000385407_75-140 74 0.582604127264321 0.06 0.54 0.59
ENSP00000349748_373-440 24 0.51775101920733 0.06 0.88 0.15
ENSP00000257829_771-892 64 0.503752609292062 0.06 0.19 0.82
ENSP00000338173_934-984 17 0.541606316208003 0.06 0.36 0.73
ENSP00000310042_54-104 8 0.521976695594315 0.04 0.21 0.83
ENSP00000313890_420-482 33 0.516685452816037 0.04 0.23 0.8
ENSP00000365458_44-104 43 0.548085801548405 0.06 0.17 0.9
ENSP00000318177_164-228 78 0.552231748833691 0.04 0.66 0.42
ENSP00000380486_26-89 67 0.55719909102545 0.04 0.28 0.79
ENSP00000384795_860-914 0 0.475038784440378 0.12 1 0
ENSP00000429173_25-76 74 0.554352860869353 0.06 0.35 0.74
ENSP00000326806_56-116 66 0.560990920979515 0.04 0.79 0.29
ENSP00000264161_60-145 26 0.527717086834734 0.06 0.59 0.46
ENSP00000431009_82-132 76 0.596037811745776 0.04 0.48 0.68
ENSP00000221494_41-91 75 0.601253869529408 0.04 0.33 0.82
ENSP00000243498_189-256 23 0.519521497919556 0.06 0.57 0.47
ENSP00000433071_18-70 24 0.5261027410062 0.06 0.32 0.74
ENSP00000421592_115-184 66 0.557887769856962 0.04 0.67 0.44
ENSP00000401177_10-83 8 0.545286034891599 0.04 0.39 0.71
ENSP00000338552_45-105 66 0.556141186498038 0.04 0.58 0.53
ENSP00000256383_14-88 24 0.501214847857797 0.08 0.94 0.08
ENSP00000407848_50-109 77 0.556586303721108 0.04 0.71 0.38
ENSP00000358812_449-522 26 0.540190972222222 0.06 0.56 0.51
ENSP00000362993_134-199 41 0.563804480309335 0.06 0.52 0.59
ENSP00000307633_260-311 45 0.586955638443973 0.1 0.5 0.65
ENSP00000240185_193-255 66 0.532390394341528 0.04 0.41 0.67
ENSP00000362105_13-253 78 0.541396017866606 0.04 0.86 0.2
ENSP00000215793_163-216 9 0.477601265177023 0.04 0.15 0.87
ENSP00000356520_4-69 72 0.583865002311604 0.06 0.65 0.51
ENSP00000390222_873-930 19 0.53904591192238 0.04 0.24 0.85
ENSP00000390625_185-242 35 0.50360977243548 0.04 0.23 0.79
ENSP00000431213_26-77 8 0.532008540757535 0.04 0.32 0.76
ENSP00000418748_350-422 62 0.530446519308943 0.06 0.78 0.27
ENSP00000379069_333-400 7 0.505954482410793 0.04 0.19 0.84
ENSP00000218364_291-347 66 0.551233144621719 0.04 0.25 0.82
ENSP00000337445_61-120 74 0.575191846223067 0.06 0.7 0.42
ENSP00000428749_-6-43 49 0.582517877683663 0.08 0.67 0.46
ENSP00000361925_2-53 66 0.530696140812794 0.04 0.62 0.44
ENSP00000265872_628-678 79 0.581744949833047 0.04 0.49 0.66
ENSP00000375836_1054-1117 66 0.574166825786173 0.06 0.28 0.82
ENSP00000427644_1-52 16 0.527200306722331 0.06 0.32 0.76
ENSP00000221419_104-168 26 0.520507081914849 0.06 0.24 0.8
ENSP00000428021_76-147 30 0.519982453915102 0.06 0.36 0.69
ENSP00000233468_21-88 71 0.585303450594713 0.04 0.8 0.33
ENSP00000371634_5-70 61 0.546526289244736 0.04 0.34 0.73
ENSP00000219782_438-488 44 0.625793684603432 0.04 0.74 0.45
ENSP00000258770_565-620 37 0.52673107559484 0.04 0.32 0.73
ENSP00000313829_157-240 78 0.575546645041149 0.04 0.43 0.72
ENSP00000345412_127-199 8 0.549398712737127 0.04 0.44 0.64
ENSP00000318195_395-460 79 0.594136931030135 0.04 0.44 0.71
ENSP00000339090_38-108 41 0.563104600033824 0.06 0.53 0.59
ENSP00000304350_1208-1343 28 0.517087519164044 0.04 0.31 0.74
ENSP00000366135_288-456 37 0.523851946387333 0.04 0.17 0.9
ENSP00000393388_7-83 41 0.572748162156176 0.06 0.36 0.77
ENSP00000348111_243-305 41 0.560418770505885 0.06 0.51 0.6
ENSP00000380414_141-191 17 0.545898805973783 0.04 0.38 0.73
ENSP00000250113_371-528 71 0.611948653477139 0.06 0.64 0.54
ENSP00000363745_248-323 78 0.568006610274889 0.06 0.61 0.52
ENSP00000220592_235-371 75 0.553863302426914 0.04 0.82 0.27
ENSP00000366604_273-347 78 0.573152710404016 0.06 0.74 0.37
ENSP00000313890_353-412 78 0.579129797197087 0.06 0.71 0.43
ENSP00000436747_133-201 24 0.537251204384401 0.06 0.55 0.51
ENSP00000358088_1-53 41 0.570571970712759 0.06 0.49 0.62
ENSP00000223073_337-413 15 0.541648565076282 0.06 0.5 0.58
ENSP00000371634_195-258 76 0.579530027424509 0.04 0.34 0.78
ENSP00000365458_146-209 23 0.51371435285922 0.06 0.53 0.5
ENSP00000228284_818-876 78 0.554335902588125 0.04 0.53 0.57
ENSP00000390517_6-58 8 0.554618997700253 0.04 0.49 0.64
ENSP00000359508_220-279 66 0.542646727990801 0.04 0.38 0.7
ENSP00000265753_66-116 66 0.530859877392211 0.04 0.14 0.91
ENSP00000265069_569-619 73 0.614678042981698 0.06 0.51 0.69
ENSP00000262056_98-167 67 0.556908675471841 0.06 0.55 0.56
ENSP00000391114_1-53 78 0.540528982504043 0.04 0.56 0.52
ENSP00000378461_58-109 70 0.621611326458471 0.04 0.5 0.7
ENSP00000358812_183-258 41 0.571296840527118 0.06 0.66 0.46
ENSP00000358563_297-370 35 0.487145367547425 0.04 0.01 1
ENSP00000264073_63-123 2 0.528856076843693 0.04 0.24 0.81
ENSP00000362576_370-466 23 0.535779643951716 0.06 0.72 0.33
ENSP00000408267_5-78 28 0.51738545901084 0.04 0.26 0.77
ENSP00000354085_1701-1752 76 0.59466344864575 0.04 0.61 0.55
ENSP00000349748_313-367 78 0.582859528692299 0.06 0.66 0.49
ENSP00000358616_58-194 78 0.59567056796879 0.04 0.31 0.87
ENSP00000254803_229-310 39 0.554477829014347 0.04 0.38 0.73
ENSP00000342374_14-111 78 0.557523390936636 0.04 0.15 0.92
ENSP00000335321_282-457 71 0.567063451254628 0.04 0.87 0.26
ENSP00000442053_589-650 61 0.550588538048891 0.04 0.24 0.84
ENSP00000415726_205-258 73 0.624995408631772 0.06 0.48 0.71
ENSP00000393530_526-576 43 0.553072903354066 0.08 0.61 0.49
ENSP00000415940_55-117 21 0.48382470637039 0.04 0.02 0.98
ENSP00000313007_310-368 62 0.540949442291302 0.04 0.5 0.58
ENSP00000375836_586-637 76 0.604566379807731 0.06 0.56 0.61
ENSP00000362852_911-962 17 0.534045198566518 0.04 0.41 0.66
ENSP00000387911_437-523 8 0.524401549908479 0.04 0.78 0.26
ENSP00000331815_654-789 19 0.512499495683047 0.04 0.05 0.98
ENSP00000427914_4-56 78 0.546829924344003 0.06 0.59 0.49
ENSP00000310596_8-76 24 0.527669797680258 0.06 0.26 0.78
ENSP00000319104_1226-1282 78 0.564678332475553 0.04 0.26 0.84
ENSP00000375836_152-212 78 0.573805166643687 0.06 0.78 0.33
ENSP00000366396_1-255 17 0.601167110817172 0.06 0.56 0.61
ENSP00000362936_98-169 43 0.565377135125994 0.06 0.56 0.55
ENSP00000342408_716-767 74 0.598607759005989 0.06 0.34 0.82
ENSP00000364912_440-507 9 0.484695078384399 0.04 0.28 0.73
ENSP00000349428_186-252 9 0.480283066448115 0.04 0.03 0.99
ENSP00000267884_4-94 78 0.545120226308345 0.04 0.3 0.77
ENSP00000426446_88-159 78 0.551870877727042 0.06 0.67 0.41
ENSP00000201886_426-491 76 0.594154793426638 0.04 0.64 0.52
ENSP00000309296_669-817 17 0.581698279436153 0.06 0.35 0.78
ENSP00000325376_73-143 11 0.542832530018603 0.06 0.57 0.5
ENSP00000423533_498-565 17 0.57945299037532 0.06 0.3 0.83
ENSP00000384302_473-579 28 0.506768127606644 0.04 0.6 0.42
ENSP00000371212_73-141 39 0.546455879226921 0.04 0.36 0.74
ENSP00000364912_337-407 78 0.556475139523085 0.04 0.52 0.6
ENSP00000278070_1545-1608 77 0.542156527431853 0.04 0.39 0.69
ENSP00000375836_300-351 47 0.59807548534419 0.06 0.37 0.77
ENSP00000428756_9-72 17 0.554646534377157 0.06 0.73 0.35
ENSP00000375836_875-967 47 0.619604677084664 0.06 0.49 0.69
ENSP00000375863_3-54 10 0.529413494971133 0.08 0.28 0.79
ENSP00000437886_261-336 78 0.555170453093455 0.06 0.77 0.32
ENSP00000398116_20-85 78 0.57357521119657 0.04 0.3 0.81
ENSP00000382239_5-70 32 0.503916067751019 0.06 0.44 0.58
ENSP00000359508_283-395 65 0.619160004634457 0.04 0.72 0.48
